Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,South Korea,South Korea,KR,416.13,481.28,31.91,6.35,Electricity Maps Estimation,False,
2021-01-01 01:00:00,South Korea,South Korea,KR,409.99,474.84,32.92,7.74,Electricity Maps Estimation,False,
2021-01-01 02:00:00,South Korea,South Korea,KR,407.15,471.86,33.38,8.37,Electricity Maps Estimation,False,
2021-01-01 03:00:00,South Korea,South Korea,KR,405.49,470.13,33.65,8.75,Electricity Maps Estimation,False,
2021-01-01 04:00:00,South Korea,South Korea,KR,406.31,470.98,33.52,8.56,Electricity Maps Estimation,False,
2021-01-01 05:00:00,South Korea,South Korea,KR,407.62,472.36,33.3,8.27,Electricity Maps Estimation,False,
2021-01-01 06:00:00,South Korea,South Korea,KR,410.36,475.23,32.85,7.65,Electricity Maps Estimation,False,
2021-01-01 07:00:00,South Korea,South Korea,KR,416.32,481.47,31.88,6.31,Electricity Maps Estimation,False,
2021-01-01 08:00:00,South Korea,South Korea,KR,433.04,499.01,29.14,2.55,Electricity Maps Estimation,False,
2021-01-01 09:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 10:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 11:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 12:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 13:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 14:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 15:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 16:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 17:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 18:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 19:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 20:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 21:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 22:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-01 23:00:00,South Korea,South Korea,KR,434.6,500.64,28.89,2.2,Electricity Maps Estimation,False,
2021-01-02 00:00:00,South Korea,South Korea,KR,416.16,481.31,31.91,6.35,Electricity Maps Estimation,False,
2021-01-02 01:00:00,South Korea,South Korea,KR,410.01,474.86,32.91,7.73,Electricity Maps Estimation,False,
2021-01-02 02:00:00,South Korea,South Korea,KR,407.17,471.88,33.38,8.37,Electricity Maps Estimation,False,
2021-01-02 03:00:00,South Korea,South Korea,KR,405.51,470.15,33.65,8.74,Electricity Maps Estimation,False,
2021-01-02 04:00:00,South Korea,South Korea,KR,406.32,470.99,33.52,8.56,Electricity Maps Estimation,False,
2021-01-02 05:00:00,South Korea,South Korea,KR,407.62,472.35,33.3,8.27,Electricity Maps Estimation,False,
2021-01-02 06:00:00,South Korea,South Korea,KR,410.33,475.2,32.86,7.66,Electricity Maps Estimation,False,
2021-01-02 07:00:00,South Korea,South Korea,KR,416.2,481.35,31.9,6.34,Electricity Maps Estimation,False,
2021-01-02 08:00:00,South Korea,South Korea,KR,432.71,498.66,29.2,2.62,Electricity Maps Estimation,False,
2021-01-02 09:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-02 10:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-02 11:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-02 12:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-02 13:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-02 14:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-02 15:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-02 16:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
2021-01-02 17:00:00,South Korea,South Korea,KR,436.54,502.67,28.57,1.76,Electricity Maps Estimation,False,
